dataset,profile_id,layer_id,profile_code,layer_name,longitude,latitude,country_name,region,continent,date,dataset_id,upper_depth,lower_depth,layer_thickness_cm,organic_surface,BDOD,OrgC,TOTC,OrgC_Stock,TOTC_Stock
WOSIS 2023,1144107,600523,04N0315,A,-119.5536118,73.2227783,Canada,Northern America,Northern America,2003-6-29,US-NCSS,0,8,8,FALSE,1.44,NA,44.8,NA,51.6096
WOSIS 2023,1144107,600524,04N0315,Ajj,-119.5536118,73.2227783,Canada,Northern America,Northern America,2003-6-29,US-NCSS,8,35,27,FALSE,1.51,NA,44,NA,179.38799999999998
WOSIS 2023,1144107,600526,04N0315,A/Bjj,-119.5536118,73.2227783,Canada,Northern America,Northern America,2003-6-29,US-NCSS,52,81,29,FALSE,1.76,NA,27.1,NA,138.31840000000003
WOSIS 2023,1144107,600527,04N0315,B/Afjj,-119.5536118,73.2227783,Canada,Northern America,Northern America,2003-6-29,US-NCSS,81,106,25,FALSE,2.02,NA,20.6,NA,104.03
WOSIS 2023,1176745,3351314,N1,NA,-133.488311767578,68.0422210693359,Canada,Northern America,Northern America,????-??-??,CA-Forest-Schiedung,0,15,15,FALSE,0.71,64.5,64.5,68.6925,68.6925
WOSIS 2023,1176745,3351315,N1,NA,-133.488311767578,68.0422210693359,Canada,Northern America,Northern America,????-??-??,CA-Forest-Schiedung,15,30,15,FALSE,1.49,39.5,39.5,88.2825,88.2825
WOSIS 2023,1176745,3351316,N1,NA,-133.488311767578,68.0422210693359,Canada,Northern America,Northern America,????-??-??,CA-Forest-Schiedung,30,45,15,FALSE,1.55,23.5,23.5,54.63750000000001,54.63750000000001
WOSIS 2023,1176745,3351317,N1,NA,-133.488311767578,68.0422210693359,Canada,Northern America,Northern America,????-??-??,CA-Forest-Schiedung,45,60,15,FALSE,1.52,20.1,20.1,45.828,45.828
WOSIS 2023,1181763,792084,87P0589,Ap2,-67.7294464,47.1011123999999,Canada,Northern America,Northern America,1987-6-1,US-NCSS,10,21,11,FALSE,1.8,18,18.8,35.64,37.224000000000004
WOSIS 2023,1181763,792085,87P0589,Bw,-67.7294464,47.1011123999999,Canada,Northern America,Northern America,1987-6-1,US-NCSS,21,30,9,FALSE,1.79,9.5,10.1,15.304499999999999,16.2711
WOSIS 2023,1181763,792086,87P0589,NA,-67.7294464,47.1011123999999,Canada,Northern America,Northern America,1987-6-1,US-NCSS,30,38,8,FALSE,2.03,3.7,4,6.008799999999999,6.4959999999999996
WOSIS 2023,1181763,792087,87P0589,2C,-67.7294464,47.1011123999999,Canada,Northern America,Northern America,1987-6-1,US-NCSS,38,67,29,FALSE,1.96,1.4,1.5,7.957599999999999,8.526
WOSIS 2023,1181763,792088,87P0589,3C,-67.7294464,47.1011123999999,Canada,Northern America,Northern America,1987-6-1,US-NCSS,67,87,20,FALSE,1.96,1.5,1.3,5.88,5.096
WOSIS 2023,1181821,798301,88P0841,Ap1,-104.4000015,50.3833350999999,Canada,Northern America,Northern America,1988-7-1,US-NCSS,0,10,10,FALSE,1.51,30.2,29,45.602,43.79
WOSIS 2023,1181821,798302,88P0841,Ap2,-104.4000015,50.3833350999999,Canada,Northern America,Northern America,1988-7-1,US-NCSS,10,25,15,FALSE,1.72,21.6,22.3,55.727999999999994,57.534000000000006
WOSIS 2023,1181821,798303,88P0841,Bw1,-104.4000015,50.3833350999999,Canada,Northern America,Northern America,1988-7-1,US-NCSS,25,45,20,FALSE,1.66,14.5,21.3,48.14,70.716
WOSIS 2023,1181821,798304,88P0841,Bw2,-104.4000015,50.3833350999999,Canada,Northern America,Northern America,1988-7-1,US-NCSS,45,83,38,FALSE,1.73,11.2,18.4,73.62879999999998,120.9616
WOSIS 2023,1181821,798305,88P0841,Bw3,-104.4000015,50.3833350999999,Canada,Northern America,Northern America,1988-7-1,US-NCSS,83,119,36,FALSE,1.82,7,15.8,45.864,103.5216
WOSIS 2023,1181821,798306,88P0841,BC1,-104.4000015,50.3833350999999,Canada,Northern America,Northern America,1988-7-1,US-NCSS,119,149,30,FALSE,1.75,6.3,14.8,33.075,77.70000000000002
WOSIS 2023,1181821,798307,88P0841,BC2,-104.4000015,50.3833350999999,Canada,Northern America,Northern America,1988-7-1,US-NCSS,149,200,51,FALSE,1.76,6,14.8,53.85600000000001,132.84480000000002
WOSIS 2023,1182604,817409,91P0896,Ak,-112.8000031,49.6333350999999,Canada,Northern America,Northern America,1991-7-1,US-NCSS,0,13,13,FALSE,1.63,20.8,NA,44.075199999999995,NA
