profile_id,dataset,longitude,latitude,country_name,region,continent,date,total_depth_cm,n_layers,n_layers_orgc,n_layers_totc,sum_OrgC_Stock,sum_TOTC_Stock
1144107,WOSIS 2023,-119.5536118,73.2227783,Canada,Northern America,Northern America,2003-6-29,89,4,0,4,NA,473.346
1176745,WOSIS 2023,-133.488311767578,68.0422210693359,Canada,Northern America,Northern America,????-??-??,60,4,4,4,257.4405,257.4405
1181763,WOSIS 2023,-67.7294464,47.1011123999999,Canada,Northern America,Northern America,1987-6-1,77,5,5,5,70.7909,73.6131
1181821,WOSIS 2023,-104.4000015,50.3833350999999,Canada,Northern America,Northern America,1988-7-1,200,7,7,7,355.8938,607.0680000000001
1182604,WOSIS 2023,-112.8000031,49.6333350999999,Canada,Northern America,Northern America,1991-7-1,56,2,2,0,68.2025,NA
1211731,WOSIS 2023,-112.221580505371,59.5255279541016,Canada,Northern America,Northern America,????-??-??,60,4,4,4,82.16399999999999,176.3745
1211732,WOSIS 2023,-112.353385925293,59.4401664733887,Canada,Northern America,Northern America,????-??-??,60,4,4,4,44.269500235500004,170.34000000000003
1216582,WOSIS 2023,-67.3663863999999,46.9111099,Canada,Northern America,Northern America,1987-6-1,96,6,6,6,68.265,143.1449
1216583,WOSIS 2023,-65.6794433999999,46.9680557,Canada,Northern America,Northern America,1987-6-1,75,5,5,5,72.75359999999999,75.0478
1216584,WOSIS 2023,-65.4552764999999,46.8036117999999,Canada,Northern America,Northern America,1987-6-1,75,4,4,4,23.1195,23.6988
1283790,WOSIS 2023,-119.5602798,73.2213897999999,Canada,Northern America,Northern America,2003-6-29,75,4,0,4,NA,614.8498999999999
1321702,WOSIS 2023,-138.2780609,64.0669479,Canada,Northern America,Northern America,1991-7-1,106,4,4,4,343.20619999999997,1193.9068000000002
1348929,WOSIS 2023,-112.22241973877,59.5243072509766,Canada,Northern America,Northern America,????-??-??,60,4,4,4,57.244499781,74.9325
1350602,WOSIS 2023,-112.205223083496,60.017276763916,Canada,Northern America,Northern America,????-??-??,60,4,4,4,26.8605,23.1854996949
1352896,WOSIS 2023,-119.5602798,73.2213897999999,Canada,Northern America,Northern America,2003-6-29,45,1,0,1,NA,331.12800000000004
1385425,WOSIS 2023,-133.532562255859,68.3169479370117,Canada,Northern America,Northern America,????-??-??,60,4,4,4,132.7980021,132.7980021
1420110,WOSIS 2023,-112.221557617188,59.5248603820801,Canada,Northern America,Northern America,????-??-??,60,4,4,4,31.705501650000002,37.2299997735
1425092,WOSIS 2023,-103.316665599999,52.4000015,Canada,Northern America,Northern America,1988-7-1,210,7,7,7,173.14530000000002,590.8258
1453074,WOSIS 2023,-133.428726196289,68.1699142456055,Canada,Northern America,Northern America,????-??-??,60,4,4,4,150.295497705,150.295497705
1492154,WOSIS 2023,-119.295387268066,76.2283325195312,Canada,Northern America,Northern America,????-??-??,68,4,0,4,NA,529.8787
1529276,WOSIS 2023,-105.083335899999,50.1666679,Canada,Northern America,Northern America,1988-7-1,200,8,8,8,262.5561,523.7493000000001
1557189,WOSIS 2023,-133.42399597168,68.17236328125,Canada,Northern America,Northern America,????-??-??,60,4,4,4,83.776500066,83.776500066
1599771,WOSIS 2023,-112.8000031,49.6333350999999,Canada,Northern America,Northern America,1991-7-1,29,1,1,0,23.9888,NA
1627031,WOSIS 2023,-133.434219360352,68.1687469482422,Canada,Northern America,Northern America,????-??-??,60,4,4,4,322.569,322.569
1631106,WOSIS 2023,-119.5572205,73.2211075,Canada,Northern America,Northern America,2003-6-29,142,7,0,7,NA,1001.1392
1631298,WOSIS 2023,-119.5555573,73.2022247,Canada,Northern America,Northern America,2003-6-29,59,2,0,2,NA,310.65979999999996
1668457,WOSIS 2023,-104.520835899999,52.8416672,Canada,Northern America,Northern America,1988-7-1,170,6,6,6,358.098,537.0185
1668458,WOSIS 2023,-109.1999969,50.8666649,Canada,Northern America,Northern America,1988-7-1,127,6,6,6,187.344,287.89840000000004
1696197,WOSIS 2023,-113.648750305176,60.1439437866211,Canada,Northern America,Northern America,????-??-??,15,1,1,1,13.3125,13.125
